Brand,Cultivator,Product,Format,Total Price,THC,CBD,Irradiation,Group,C.O.O,Terpenes,Pack,Stock,MedBud,Discounted,New
Carmel,,Bananaconda,Flower,£90.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/carmel/bc-t30-bananaconda/,,,
Carmel,,Masterpiece,Flower,£90.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Low Stock,https://medbud.wiki/strains/carmel/mp-t27-masterpiece/,,,
Carmel,,Spiked Mai Tai,Flower,£90.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/carmel/smt-t29/,,,
Carmel,,Thin Mint Jealousy,Flower,£80.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Limonene, Humulene",10 Grams,In Stock,https://medbud.wiki/strains/carmel/tmj-t25-thin-mint-jealousy/,,,

Clearleaf,Sinceritas,Gelato Dream,Flower,£60.00,21%,<1%,Non-Irradiated,Hybrid,North Macedonia,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/clearleaf/gelato-dream/,,,

Common Roots,All Nations,Maui Wowie,Flower,£70.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/common-roots/mw-t25-maui-wowie/,,,
Common Roots,All Nations,Sticky Cake,Flower,£60.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/common-roots/sck-t25-sticky-cake/,,,
Common Roots,All Nations,Watermelon Zkittlez,Flower,£60.00,29%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/common-roots/wz-t25-watermelon-zkittlez/,,,

Cookies,Purplefarm,Apples & Bananas,Flower,£89.50,28%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/cookies/t24-apples-bananas/,,,
Cookies,,Cereal Milk,Flower,£69.50,26%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/cookies/cmi-t26-cereal-milk/,,,
Cookies,Purplefarm,Gelatti,Flower,£89.50,32%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/cookies/c-gli-t31-gelatti/,,,
Cookies,Purplefarm,Hawaiian Rain,Flower,£69.50,31%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/cookies/c-hr-t31-hawaiian-rain/,,,
Cookies,Purplefarm,Medellin,Flower,£69.50,23%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/cookies/t26-medellin/,,,
Cookies,,Pomegranate Shake,Flower,£50.00,22%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/cookies/ps-t25-pomegranate-shake/,,,
Cookies,Purplefarm,Vienna,Flower,£89.50,31%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/cookies/c-vie-t31-vienna/,,,

Craft Botanics,,Berry Cheesecake,Flower,£89.00,32%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Eucalyptol, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/craft-botanics/bcc-t32-berry-cheesecake/,,,
Craft Botanics,Purplefarm,Gelonade,Flower,£79.00,27%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/craft-botanics/gld-t25-gelonade/,,,
Craft Botanics,Purplefarm,Georgia Pie,Flower,£79.00,27%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/craft-botanics/ggp-t27-georgia-pie/,,,
Craft Botanics,,GMO Grape Ape,Flower,£89.00,32%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/craft-botanics/gga-t32-gmo-grape-ape/,,,
Craft Botanics,,M.A.C. Deluxe,Flower,£69.00,28%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/craft-botanics/mac-t28-miracle-alien-cookies/,,,
Craft Botanics,,Slurricane Mimosa,Flower,£79.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/craft-botanics/smm-t28-slurricane-mimosa/,,,
Craft Botanics,,Strawberry Froyo,Flower,£99.00,28%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/craft-botanics/sfy-t28-strawberry-froyo/,,,
Craft Botanics,,Superboof,Flower,£89.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/craft-botanics/sbf-t30-superboof/,,,
Craft Botanics,Purplefarm,White Runtz,Flower,£99.00,28%,<1%,Beta,Hybrid,Canada,"Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/craft-botanics/wrz-t28-white-runtz/,,,

Curaleaf,Valeos Pharma,GMO X ZKZ,Flower,£67.50,23%,<1%,Beta,Hybrid,Denmark,"Caryophyllene, Humulene, Myrcene, Ocimeme, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/curaleaf/gzz-t23/,,,
Curaleaf,Terra Verde,Gorilla Glue #4,Flower,£69.00,24%,<1%,Gamma,Sativa Hybrid,Portugal,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/curaleaf/gg4-t22/#,,,
Curaleaf,ECS Botanics,Green Gelato,Flower,£69.00,23%,<1%,Beta,Hybrid,Australia,"Beta-Pinene, Caryophyllene, Limonene, Myrcene, Nerolidol",10 Grams,Low Stock,https://medbud.wiki/strains/curaleaf/t23-green-gelato/,,,
Curaleaf,Terra Verde,High Silver,Flower,£55.00,21%,<1%,Beta,Sativa Hybrid,Portugal,"Caryophyllene, Humulene, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/curaleaf/cura-8-t21/,,,
Curaleaf,Terra Verde,Lavender Cake,Flower,£55.00,20%,<1%,Beta,Indica Hybrid,Portugal,"Alpha-Farnesene, Caryophyllene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/curaleaf/t20-lavender-cake/,,,
Curaleaf,Terra Verde,Pennywise,Flower,£69.00,11%,11%,Beta,Balanced,Portugal,"Caryophyllene, Humulene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/curaleaf/pwe-t11c11-pennywise/,,,
Curaleaf,ECS Botanics,Permanent Fumez,Flower,£69.00,23%,<1%,Beta,Hybrid,Australia,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Humulene, Limonene, Linalool, Myrcene, Nerolidol, Terpineol",10 Grams,In Stock,https://medbud.wiki/strains/curaleaf/organic-pfz-t23-permanent-fumez/,,,
Curaleaf,ECS Botanics,Royal Moby,Flower,£65.00,20%,<1%,Beta,Sativa Hybrid,Australia,"Beta-Pinene, Caryophyllene, Limonene, Myrcene, Nerolidol",10 Grams,Low Stock,https://medbud.wiki/strains/curaleaf/t25/,,,
Curaleaf,Terra Verde,Tripoli,Flower,£59.00,20%,<1%,Beta,Indica Hybrid,Portugal,"Alpha-Pinene, Beta-Pinene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/curaleaf/t20-tripoli/,,,
Curaleaf,Terra Verde,Wedding Pop Triangle,Flower,£59.50,24%,<1%,Beta,Indica Hybrid,Portugal,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/curaleaf/t20-tripoli/,,,
Curaleaf,Terra Verde,Zookies,Flower,£59.50,26%,<1%,Beta,Hybrid,Portugal,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/curaleaf/t26-zookies/,,,
Curaleaf,Terra Verde,Zour Apples,Flower,£69.00,22%,<1%,Gamma,Indica Hybrid,Portugal,"Caryophyllene, Humulene, Myrcene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/curaleaf/t22-zour-apples/,,,

Curo,Northern Green Canada,Black Cherry Punch,Flower,£75.00,21%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",15 Grams,In Stock,https://medbud.wiki/strains/curo/bcp-t22-black-cherry-punch/,,,
Curo,Northern Green Canada,Fire OG,Flower,£82.50,25%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Humulene, Myrcene",15 Grams,In Stock,https://medbud.wiki/strains/curo/fog-t25-fire-og/,,,
Curo,Northern Green Canada,Ghost Wreck Haze (SMALLS),Flower,£50.00,18%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/curo/gwh-smalls-t18-ghost-wreck-haze/,,,
Curo,Northern Green Canada,Runtz Muffin,Flower,£50.00,17%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Humulene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/curo/rm-t17-runtz-muffin/,,,
Curo,Northern Green Canada,Superboof,Flower,£55.00,22%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/curo/sb-t22-superboof/,,,
Curo,Northern Green Canada,Zkittlez Pie,Flower,£75.00,20%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Humulene, Limonene, Terpinolene",15 Grams,In Stock,https://medbud.wiki/strains/curo/zzp-t20-zkittlez-pie/,,,

Dalgety,,Blood Orange Breeze,Flower,82.50,18%,<1%,Beta,Hybrid,UK,"Not Listed",10 Grams,Low Stock,https://medbud.wiki/strains/dalgety/bob-t18-blood-orange-breeze/,,,
Dalgety,,Britney's Frozen Lemon,Flower,£85.00,28%,<1%,Beta,Hybrid,UK,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/dalgety/bfl-t28-britneys-frozen-lemon/,,,
Dalgety,,Chem-Mog,Flower,£85.00,27%,<1%,Beta,Hybrid,UK,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/dalgety/cmog-t27/,,,
Dalgety,,High Society (Alchemy),Flower,£85.00,30%,<1%,Beta,Hybrid,UK,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/dalgety/hsal-t30/,,,
Dalgety,,High Society (Heritage),Flower,£69.50,23%,<1%,Beta,Hybrid,UK,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/dalgety/hsoc-tbc/,,,
Dalgety,,High Society (Oracle),Flower,£85.00,24%,<1%,Beta,Hybrid,UK,"Not Listed",10 Grams,Low Stock,https://medbud.wiki/strains/dalgety/hsoc-high-society-oracle/,,,
Dalgety,,Korean BBQ,Flower,£69.50,27%,<1%,Beta,Hybrid,UK,"Alpha-Farnesene, Alpha-Pinene, Beta-Pinene, Bisabolol, Fenchol, Humulene, Limonene, Linalool, Myrcene, Terpineol",10 Grams,Out of Stock,https://medbud.wiki/strains/dalgety/t24-korean-bbq/,,,
Dalgety,,Marshmellow OG,Flower,£79.50,25%,<1%,Beta,Hybrid,UK,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/dalgety/cmog-t24-chem-mog/,,,

DOE,,Britz,Flower,£70.00,27%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/dank-of-england-medical/brtz-t27-britz/,,,
DOE,,Union Jack Herer,Flower,£85.00,27%,<1%,Non-Irradiated,Sativa Hybrid,Canada,"Limonene, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/dank-of-england-medical/jack-herer-original/,,,

EastCann,,Jelly Rancher,Flower,£85.00,27%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/eastcann/ecjr-t27-jelly-rancher/,,,
EastCann,,Miracle Alien Cookies,Flower,£70.00,24%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/eastcann/ecmac1-t27-miracle-alien-cookies/,,,
EastCann,,Peach Chem,Flower,£65.00,25%,<1%,Beta,Indica,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/eastcann/pc-t25-peach-chem/,,,
EastCann,,Platinum Mints,Flower,£90.00,31%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/eastcann/ecpmt-t32-platinum-mints/,,,
EastCann,,Sleeping With The Stars,Flower,£75.00,26%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/eastcann/ecswts-t26-sleeping-stars/,,,
EastCann,,Strawberry Pave,Flower,£80.00,31%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Low Stock,https://medbud.wiki/strains/eastcann/ecsp-t28-strawberry-pave/,,,

EcoCann,Glass Pharms®,Bubblgum Mintz,Flower,£52.50,22%,<1%,Non-Irradiated,Hybrid,United Kingdom,"Caryophyllene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/ecocann/access-t22-bubblegum-mintz/,,,
EcoCann,Glass Pharms®,Pink Cookies,Flower,£52.50,23%,<1%,Non-Irradiated,Hybrid,United Kingdom,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/ecocann/access-pnk-t23-pink-cookies/,,,

Find,,Dosimendo (SMALLS),Flower,£50.00,25%,<1%,Irradiation Unknow,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/find/dmo-smalls-t25-dosimendo/,,,
Find,Terra Verde,Wedding Pop Triangle(SMALLS),Flower,£50.00,22%,<1%,Beta,Indica Hybrid,Portugal,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/find/wpt-t22/,,,
Find,Terra Verde,Zookies (SMALL),Flower,£90.00,31%,<1%,Beta,Indica Hybrid,Portugal,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/find/zks-smalls-t23-zookies/,,,
Find,,Sleeping With The Stars,Flower,£75.00,26%,<1%,Gamma,Indica Hybrid,Portugal,"Caryophyllene, Humulene, Myrcene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/find/zas-t22-zour-apples/,,,

Four20,Northern Green Canada,Chem De La Chem,Flower,£90.00,30%,<1%,Gamma,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/420-pharma/cdl-t30-chem-de-la-chem/,,,
Four20,,Gastro Pop,Flower,£75.00,31%,<1%,Beta,Indica Hybrid,Unknown,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/420-pharma/gpp-t31-gastro-pop/,,,
Four20,,Gaschata,Flower,£70.00,22%,<1%,Irradiation Unknown,Hybrid,Unknown,"Caryophyllene, Limonene, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/420-pharma/gca-t22-gaschata/,,,
Four20,,Government Oasis,Flower,£70.00,25%,<1%,Irradiation Unknown,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/420-pharma/gos-t25-governmint-oasis/,,,
Four20,EastCann,Grape Gas,Flower,£80.00,30%,<1%,Gamma,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/420-pharma/ggs-t23/,,,
Four20,Northern Green Canada,Grapes & Cream,Flower,£79.00,30%,<1%,Gamma,Hybrid,Canada,"Caryophyllene, Humulene, Limonene",10 Grams,In Stock,https://medbud.wiki/strains/420-pharma/gcm-t30/,,,
Four20,,Frozen Lemons,Flower,£75.00,28%,1%,Beta,Sativa Hybrid,Unknown,"Caryophyllene, Limonene, Myrcene",10 Grams,Low Stock,https://medbud.wiki/strains/420-pharma/frs-t28-frozen-lemons/,,,
Four20,EastCann,ICC Kush Mints,Flower,£79.00,28%,<1%,Gamma,Indica Hybrid,Canada,"Caryophyllene, Myrcene, Ocimene",10 Grams,In Stock,https://medbud.wiki/strains/420-pharma/ikm-t28/,,,
Four20,,Peach Chementine,Flower,£75.00,33%,<1%,Irradiation Unknown,Indica,Unknown,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/420-pharma/pce-t33-peach-chementine/,,,
Four20,,Pineapple Fruz,Flower,£85.00,30%,<1%,Irradiation Unknown,Hybrid,Unknown,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/420-pharma/pnz-t30-pineapple-fruz/,,,

Glass Pharms®,,Blackberry Balanced,Flower,£68.50,9%,11%,Non-Irradiated,Balanced,United Kingdom,"Limonene, Myrcene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/glass-pharms/bb-t7c10-blackberry-balanced/,,,
Glass Pharms®,,Blackberry Sour,Flower,£67.00,19%,<1%,Non-Irradiated,Indica Hybrid,United Kingdom,"Limonene, Myrcene, Nerolidol, Ocimene",10 Grams,In Stock,https://medbud.wiki/strains/glass-pharms/t17-blackberry-sour/,,,
Glass Pharms®,,Chemstar,Flower,£68.25,32%,<1%,Non-Irradiated,Sativa Hybrid,United Kingdom,"Alpha-Farnesene, Caryophyllene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/glass-pharms/chs-t32-chemstar/,,,
Glass Pharms®,,First Class Funk,Flower,£70.00,26%,<1%,Non-Irradiated,Indica Hybrid,United Kingdom,"Caryophyllene, Humulene, Limonene",10 Grams,In Stock,https://medbud.wiki/strains/glass-pharms/ff-t22-first-class-funk/,,,
Glass Pharms®,,Frosted Lime,Flower,£49.50,1%,15%,Non-Irradiated,Hybrid,United Kingdom,"Limonene, Myrcene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/glass-pharms/fl-c18/,,,
Glass Pharms®,,Glitterbomb,Flower,£70.00,21%,<1%,Non-Irradiated,Hybrid,United Kingdom,"Caryophyllene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/glass-pharms/gb-t19/,,,
Glass Pharms®,,Grape Pie,Flower,£70.00,27%,<1%,Non-Irradiated,Hybrid,United Kingdom,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/glass-pharms/gp-t27-grape-pie/,,,
Glass Pharms®,,Kush Mints,Flower,£75.00,27%,<1%,Non-Irradiated,Indica Hybrid,United Kingdom,"Caryophyllene, Limonene, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/glass-pharms/km-t27-kush-mints/,,,
Glass Pharms®,,Lemon Cherry Gelato,Flower,£77.50,27%,<1%,Non-Irradiated,Hybrid,United Kingdom,"Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/glass-pharms/lcg-t27-lemon-cherry-gelato/,,,
Glass Pharms®,,Lemon Diesel,Flower,£65.00,22%,<1%,Non-Irradiated,Hybrid,United Kingdom,"Alpha-Pinene, Beta-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/glass-pharms/ld-t22-lemon-diesel/,,,
Glass Pharms®,,Permanent Ink,Flower,£70.00,21%,<1%,Non-Irradiated,Hybrid,United Kingdom,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/glass-pharms/pi-t21-permanent-ink/,,,
Glass Pharms®,,Super M.A.C.,Flower,£75.00,21%,<1%,Non-Irradiated,Hybrid,United Kingdom,"Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/glass-pharms/mac-t25-super/,,,
Glass Pharms®,,Tangerine Boost,Flower,£80.00,23%,<1%,Non-Irradiated,Sativa Hybrid,United Kingdom,"Caryophyllene, Limonene, Myrcene",10 Grams,Low Stock,https://medbud.wiki/strains/glass-pharms/tb-t23-tangerine-boost/,,,

Good Supply Reserve,Tilray,Blueberry Donuts,Flower,£69.50,25%,<1%,Gamma,Hybrid,Unknown,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/good-supply-reserve/t25-blueberry-donuts/,,,
Good Supply Reserve,Tilray,Pink Certz,Flower,£39.50,15%,<1%,Gamma,Hybrid,Unknown,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/good-supply-reserve/t15-pink-certz/,,,
Good Supply Reserve,Tilray,Sweet Berry Kush,Flower,£59.50,22%,<1%,Gamma,Hybrid,Unknown,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/good-supply-reserve/t22-sweet-berry-kush/,,,

Grassroots,,Blue Dream.,Flower,£69.00,18%,<1%,Irradiation Unknown,Sativa Hybrid,Unknown,"Caryophyllene, Humulene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/grassroots/bdm-t18-blue-dream/,,,
Grassroots,,L.A Kush,Flower,£70.00,29%,<1%,Gamma,Indica Hybrid,Unknown,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/grassroots/lkh-t29-la-kush/,,,

Green Britannia,,Bonne Nuit Bonbon,Flower,£90.00,31%,<1%,Irradiation Unknown,Hybrid,Unknown,"Alpha-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-britannia/rxe-t23/,,,
Green Britannia,,RX-11,Flower,£100.00,23%,<1%,Irradiation Unknown,Hybrid,Unknown,"Alpha-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-britannia/gxe-t23-rx11/,,,

Green Karat,,Bip City,Flower,£90.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/green-karat/bc-t27-bip-city/,,,
Green Karat,,Crystal Lobster,Flower,£90.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/green-karat/cl-t29-crystal-lobster/,,,
Green Karat,,Fiji Sunset,Flower,£65.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-karat/t24/,,,
Green Karat,,JMO Zkittlez,Flower,£85.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/green-karat/jk-t29-jmo-zkittlez/,,,
Green Karat,,King Sherb,Flower,£85.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/green-karat/ks-t27-king-sherb/,,,
Green Karat,,Lobsterz,Flower,£90.00,23%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-karat/lz-t26-lobsterz/,,,
Green Karat,,London Marker,Flower,£80.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-karat/lm-t27-london-marker/,,,
Green Karat,,Loud Cake,Flower,£85.00,29%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/green-karat/lc-t29-loud-cake/,,,
Green Karat,,Modified Gas,Flower,£85.00,27%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-karat/t27-modified-gas/,,,
Green Karat,,Pave S1,Flower,£85.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/green-karat/pv-t29-pave-s1/,,,
Green Karat,,Pave S1,Flower,£85.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/green-karat/pv-t29-pave-s1/,,,
Green Karat,,Sonic Strawberry,Flower,£80.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Limonene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-karat/so-t27-sonic-strawberry/,,,
Green Karat,,Super Lemon Skunk,Flower,£80.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-karat/sl-t28-super-lemon-skunk/,,,
Green Karat,,Supreme Diesel,Flower,£85.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/green-karat/sd-supreme-diesel/,,,
Green Karat,,Trillianz,Flower,£85.00,30%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/green-karat/tz-t30-trillianz/,,,
Green Karat,,White Inferno,Flower,£80.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/green-karat/lz-t26-lobsterz/,,,

Greyscales,AAAA,Flapjacks,Flower,£55.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/greyscales/fj-t26-flapjacks/,,,
Greyscales,AAAA,G13 Haze,Flower,£75.00,28%,<1%,Non-Irradiated,Sativa Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/greyscales/ghz-t28-g13-haze/,,,
Greyscales,AAAA,Gas Cream Cake,Flower,£80.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/greyscales/gsc-t27-gas-cream-cake/,,,
Greyscales,AAAA,Gelato Dream,Flower,£70.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/greyscales/gd-t26-gelato-dream/,,,
Greyscales,AAAA,Jack Frosted,Flower,£65.00,24%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/greyscales/jfro-t24-jack-frosted/,,,
